"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
00001003,AMLOSAFE-MT 50 TAB 1X10,PCS,10,0,0,0,0,82.211,822.11,110.5,84.19,0,OTSIRA GENETICA(ARISTO),,A016
AMT1,AMLOSAFE TM 40MG TAB 10X10,Pcs,5,0,0,0,0,67.4167,337.08,90.62,69.04,0,OTSIRA GENETICA,,A016
MACAM1101,AMLOVAS 10MG TAB 1*15TAB,TAB,8,0,0,0,0,64.9185,519.35,87.25,66.48,0,MACLEODS,,A012
ZZZ11478,AMLOVAS 5MG TABS. 1X15,TAB.,12,0,0,0,0,30.083,361,40,30.48,0,CAREWIN PHARMACETICULS,,A012
MACAMA103,AMLOVAS AT TAB 1*15TAB,TAB,9,0,0,0,0,103.374,930.37,145.18,110.62,0,MACLEODS,,A012
MACAMH101,AMLOVAS H TAB 1*15TAB,TABS,6,0,0,0,0,98.685,592.11,132.65,101.06,0,MACLEODS,,A012
MACAM2102,AMLOVAS M 2.5/25MG TAB 1*10TAB,TAB,6,0,0,0,0,89.457,536.74,120.23,91.61,0,MACLEODS,,A012
MACAMX501,AMLOVAS XM 5/50MG TAB 1*10TAB,TAB,2,0,0,0,0,122.767,245.53,164.99,125.72,0,MACLEODS,,A012
AIPAMDS02,AMLYCURE DS SYRUP 100ML,Pcs,3,0,0,5,1,222.78,668.34,360,270.86,0,AIMIL PHARMA,,
000004,AMODEP 5MG TAB 1*10TAB,TAB,3,0,0,0,0,13.601,40.8,18.08,13.78,0,F.D.C.,,A011
000005,AMODEP AT TAB 1**10TAB,TAB,10,0,0,0,0,39.678,396.78,52.75,40.2,0,F.D.C.,,A011
002618,AMOX-625 LB 1*10TAB,TAB.,4,0,0,0,0,70,280,260,70,0,ZYDUS OSTIVIA,,
NICAM6601,AMOXYCLAV 625MG TAB 1*10TAB,TAB,3.7,0,0,0,0,90,333,208.5,90,0,ABBOTT,,SHELF-03
ZZZ10806,AMPILOX CAP 15CAP 1*15,TAB.,2.9,0,0,0,0,92.175,267.31,156.05,99.08,0,NESTLE,,A022
UNIAM2101,AMPOXIN 250MG. 15 Caps,Pcs,5,0,0,0,0,52.5555,262.78,70.64,53.82,0,UNICHEM,,A013
000600,AMRITANJAN STRONG PAIN BALM 8ML,TAB.,1,0,0,0,0,34.5,34.5,44,34.5,0,ARISTO PHARMACEUTICALS MF-3,,
